case,scenario,controller,trajectory_rows,event_rows,min_h,final_goal_distance,max_correction,success,local_position_seen,gps_seen,gps_3d_fix_seen,odometry_seen,hil_actuator_seen,offboard_seen,armed_seen,offboard_ack_accepted,arm_ack_accepted,land_command_seen,settle_check_seen,health_warning,strict_hil_ready,final_x_rel,final_y_rel,final_z_rel,last_mode,last_armed,last_statustext,last_command_ack,last_detail,trajectory_csv,events_csv
r01_baseline_no_cbf,hitl_campaign_conservative,baseline_no_cbf,170,5054,-0.0010738650325889457,0.858170653943777,0.0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0.005391292506828904,-0.008153718896210194,-0.014618709683418274,OFFBOARD,True,severity=2: Preflight Fail: Attitude failure (roll),MAV_CMD_COMPONENT_ARM_DISARM: MAV_RESULT_ACCEPTED,"rows=170,last_statustext=Preflight Fail: Attitude failure (roll),last_ack=MAV_CMD_COMPONENT_ARM_DISARM: MAV_RESULT_ACCEPTED",/home/annq/Thesis_2/output/hitl_clean_attempt_alt04_r085_d85_strongfilter_n1/r01_baseline_no_cbf.csv,/home/annq/Thesis_2/output/hitl_clean_attempt_alt04_r085_d85_strongfilter_n1/events/r01_baseline_no_cbf_events.csv
r01_cbf_velocity_filter,hitl_campaign_conservative,cbf_velocity_filter,170,5053,-0.004420841687300383,0.8566325570590586,9.742215871204827,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0.02596545359119773,-0.006238946225494146,0.05111118406057358,OFFBOARD,True,severity=6: Takeoff detected	,MAV_CMD_COMPONENT_ARM_DISARM: MAV_RESULT_ACCEPTED,"rows=170,last_statustext=Takeoff detected	,last_ack=MAV_CMD_COMPONENT_ARM_DISARM: MAV_RESULT_ACCEPTED",/home/annq/Thesis_2/output/hitl_clean_attempt_alt04_r085_d85_strongfilter_n1/r01_cbf_velocity_filter.csv,/home/annq/Thesis_2/output/hitl_clean_attempt_alt04_r085_d85_strongfilter_n1/events/r01_cbf_velocity_filter_events.csv
