case,scenario,controller,trajectory_rows,event_rows,min_h,final_goal_distance,max_correction,success,local_position_seen,gps_seen,gps_3d_fix_seen,odometry_seen,hil_actuator_seen,offboard_seen,armed_seen,offboard_ack_accepted,arm_ack_accepted,land_command_seen,settle_check_seen,health_warning,strict_hil_ready,final_x_rel,final_y_rel,final_z_rel,last_mode,last_armed,last_statustext,last_command_ack,last_detail,trajectory_csv,events_csv
r01_baseline_no_cbf,hitl_campaign_conservative,baseline_no_cbf,259,5077,0.10977126398691614,1.3512557760697985,0.0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,-0.01017842348664999,-0.001217440702021122,0.036498069763183594,OFFBOARD,True,severity=2: Preflight Fail: Attitude failure (roll),MAV_CMD_COMPONENT_ARM_DISARM: MAV_RESULT_ACCEPTED,"rows=259,last_statustext=Preflight Fail: Attitude failure (roll),last_ack=MAV_CMD_COMPONENT_ARM_DISARM: MAV_RESULT_ACCEPTED",/home/annq/Thesis_2/output/hitl_clean_attempt_alt04_longpath_n1/r01_baseline_no_cbf.csv,/home/annq/Thesis_2/output/hitl_clean_attempt_alt04_longpath_n1/events/r01_baseline_no_cbf_events.csv
r01_cbf_velocity_filter,hitl_campaign_conservative,cbf_velocity_filter,259,5077,0.008094508814281434,1.2078079023638022,2.21218932888152,1,1,1,1,1,0,1,1,1,1,0,1,1,0,-0.141005527228117,0.15045118052512407,-0.07951262593269348,OFFBOARD,True,severity=2: Preflight Fail: Attitude failure (roll),MAV_CMD_COMPONENT_ARM_DISARM: MAV_RESULT_ACCEPTED,"rows=259,last_statustext=Preflight Fail: Attitude failure (roll),last_ack=MAV_CMD_COMPONENT_ARM_DISARM: MAV_RESULT_ACCEPTED",/home/annq/Thesis_2/output/hitl_clean_attempt_alt04_longpath_n1/r01_cbf_velocity_filter.csv,/home/annq/Thesis_2/output/hitl_clean_attempt_alt04_longpath_n1/events/r01_cbf_velocity_filter_events.csv
