t,scenario,controller,obstacles,x,y,z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,wind_vx,wind_vy,v_disturbed_x,v_disturbed_y,h,correction,goal_distance,cbf_enabled
0.0007185935974121094,multi_obstacle,baseline_no_cbf,"2.600,-0.450,0.800;3.700,0.550,0.800",-0.008099089376628399,-0.04391486570239067,0.007435455918312073,-0.008922994136810303,-0.023805132135748863,0.006554866675287485,0.3403102036231242,0.08178609484495364,0.3403102036231242,0.08178609484495364,0.0,0.0,0.3403102036231242,0.08178609484495364,6.327085996304707,0.0,6.179170236137262,False
0.05092215538024902,multi_obstacle,baseline_no_cbf,"2.600,-0.450,0.800;3.700,0.550,0.800",-0.00797487422823906,-0.044417861849069595,0.007971987128257751,-0.008536642417311668,-0.02320984937250614,0.00675587635487318,0.3403033450149767,0.08181462810291133,0.3403033450149767,0.08181462810291133,0.0,0.0,0.3403033450149767,0.08181462810291133,6.3260298153928805,0.0,6.179167019023395,False
0.10099053382873535,multi_obstacle,baseline_no_cbf,"2.600,-0.450,0.800;3.700,0.550,0.800",-0.0077761197462677956,-0.04507744684815407,0.008618012070655823,-0.008128123357892036,-0.02268116921186447,0.006930360104888678,0.34029423648208834,0.08185250525837619,0.34029423648208834,0.08185250525837619,0.0,0.0,0.34029423648208834,0.08185250525837619,6.324458564769911,0.0,6.179127991260797,False
0.15096640586853027,multi_obstacle,baseline_no_cbf,"2.600,-0.450,0.800;3.700,0.550,0.800",-0.00744717987254262,-0.045780107378959656,0.009366899728775024,-0.007664672564715147,-0.022202065214514732,0.007164130453020334,0.3402841648715898,0.08189436572588303,0.3402841648715898,0.08189436572588303,0.0,0.0,0.3402841648715898,0.08189436572588303,6.32217451741584,0.0,6.178972547102899,False
0.20117664337158203,multi_obstacle,baseline_no_cbf,"2.600,-0.450,0.800;3.700,0.550,0.800",-0.007028541062027216,-0.04652426764369011,0.010560646653175354,-0.007232368923723698,-0.021481813862919807,0.007539845071732998,0.3402732740875246,0.08193960545277432,0.34027327408752467,0.08193960545277433,0.0,0.0,0.34027327408752467,0.08193960545277433,6.319390480512464,0.0,6.1787397056370565,False
0.25115084648132324,multi_obstacle,baseline_no_cbf,"2.600,-0.450,0.800;3.700,0.550,0.800",-0.006610379554331303,-0.04698142409324646,0.011793062090873718,-0.00661976495757699,-0.02082156017422676,0.008129839785397053,0.34026608004627845,0.08196947462281078,0.34026608004627845,0.08196947462281078,0.0,0.0,0.34026608004627845,0.08196947462281078,6.316841643326283,0.0,6.178440215251803,False
0.3013315200805664,multi_obstacle,baseline_no_cbf,"2.600,-0.450,0.800;3.700,0.550,0.800",-0.006132155656814575,-0.04748846963047981,0.01307767629623413,-0.006026179995387793,-0.02028478868305683,0.008494884707033634,0.34025805217188926,0.08200279222192293,0.34025805217188926,0.08200279222192293,0.0,0.0,0.34025805217188926,0.08200279222192293,6.313940344828849,0.0,6.1780940702556455,False
0.35128068923950195,multi_obstacle,baseline_no_cbf,"2.600,-0.450,0.800;3.700,0.550,0.800",-0.005623164586722851,-0.04794551059603691,0.014476671814918518,-0.0055120172910392284,-0.019600171595811844,0.00898458156734705,0.340250569895197,0.08203383256921287,0.340250569895197,0.08203383256921287,0.0,0.0,0.340250569895197,0.08203383256921287,6.310919888280809,0.0,6.177706354034308,False
0.40141844749450684,multi_obstacle,baseline_no_cbf,"2.600,-0.450,0.800;3.700,0.550,0.800",-0.004986489657312632,-0.04853018745779991,0.016185030341148376,-0.005055442452430725,-0.01910408027470112,0.009664691053330898,0.34024103762794405,0.0820733593430895,0.34024103762794405,0.0820733593430895,0.0,0.0,0.34024103762794405,0.0820733593430895,6.3071326216797985,0.0,6.177224493649505,False
0.45141172409057617,multi_obstacle,baseline_no_cbf,"2.600,-0.450,0.800;3.700,0.550,0.800",-0.004497523885220289,-0.049236420542001724,0.01754668354988098,-0.004814963322132826,-0.018983568996191025,0.010092402808368206,0.3402303891110574,0.08211749098297183,0.3402303891110574,0.08211749098297183,0.0,0.0,0.3402303891110574,0.08211749098297183,6.304018798544231,0.0,6.176914821896862,False
