t,scenario,controller,obstacles,x,y,z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,wind_vx,wind_vy,v_disturbed_x,v_disturbed_y,h,correction,goal_distance,cbf_enabled
0.0008978843688964844,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",0.03846706822514534,0.0072919465601444244,-0.01693044602870941,0.029726773500442505,0.009211600758135319,-0.015039284713566303,0.319999760618516,-0.00039141294368301443,0.319999760618516,-0.00039141294368301443,0.0,0.0,0.319999760618516,-0.00039141294368301443,9.140975780007329,0.0,5.961537391405066,True
0.05078434944152832,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",0.03965836018323898,0.007693265564739704,-0.01615290343761444,0.029970379546284676,0.009076251648366451,-0.014615488238632679,0.31999973343778965,-0.00041303721812471745,0.31999973343778965,-0.00041303721812471745,0.0,0.0,0.31999973343778965,-0.00041303721812471745,9.133164606195034,0.0,5.960346604826653,True
0.10096406936645508,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",0.04074520990252495,0.00789532158523798,-0.015227928757667542,0.030139025300741196,0.008471311070024967,-0.014183055609464645,0.3199997191495329,-0.0004239625219699782,0.3199997191495329,-0.0004239625219699782,0.0,0.0,0.3199997191495329,-0.0004239625219699782,9.126350137805833,0.0,5.959260020287975,True
0.15095829963684082,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",0.0415937602519989,0.00785335898399353,-0.014414563775062561,0.030040737241506577,0.007839150726795197,-0.013605592772364616,0.319999722047812,-0.0004217692770350453,0.319999722047812,-0.0004217692770350453,0.0,0.0,0.319999722047812,-0.0004217692770350453,9.121407772557651,0.0,5.958411415227657,True
0.20107579231262207,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",0.04242733120918274,0.00767939817160368,-0.013650402426719666,0.02998082898557186,0.007038547657430172,-0.013216274790465832,0.31999973415094757,-0.0004124843304431265,0.31999973415094757,-0.0004124843304431265,0.0,0.0,0.31999973415094757,-0.0004124843304431265,9.116804207808668,0.0,5.957577618216956,True
0.2510848045349121,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",0.043113913387060165,0.007442718371748924,-0.012924537062644958,0.029913268983364105,0.006173192523419857,-0.012695499695837498,0.3199997502278251,-0.0003998176203718388,0.3199997502278251,-0.0003998176203718388,0.0,0.0,0.3199997502278251,-0.0003998176203718388,9.113189558355625,0.0,5.956890736192799,True
0.3012063503265381,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",0.043783534318208694,0.007309698965400457,-0.012051805853843689,0.029738500714302063,0.005446132738143206,-0.012154879048466682,0.3199997590219254,-0.0003927160674781173,0.3199997590219254,-0.0003927160674781173,0.0,0.0,0.3199997590219254,-0.0003927160674781173,9.109480795632846,0.0,5.956220951052593,True
0.35121774673461914,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",0.04418415576219559,0.007296277210116386,-0.011193692684173584,0.02939465083181858,0.005100862588733435,-0.01167893037199974,0.319999759873758,-0.0003920213479180221,0.319999759873758,-0.0003920213479180221,0.0,0.0,0.319999759873758,-0.0003920213479180221,9.107137614009151,0.0,5.955820313452648,True
0.40164899826049805,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",0.044380947947502136,0.007251546252518892,-0.010406658053398132,0.02905278094112873,0.004562403075397015,-0.011302855797111988,0.31999976279331654,-0.0003896308780681821,0.31999976279331654,-0.0003896308780681821,0.0,0.0,0.31999976279331654,-0.0003896308780681821,9.106058627898973,0.0,5.9556234667827805,True
0.4516782760620117,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",0.0443597137928009,0.007213196251541376,-0.00992254912853241,0.028411686420440674,0.00433807447552681,-0.01110788807272911,0.3199997652973012,-0.00038756892569255297,0.3199997652973012,-0.00038756892569255297,0.0,0.0,0.3199997652973012,-0.00038756892569255297,9.106256458773208,0.0,5.955644654350555,True
