t,scenario,controller,obstacles,x,y,z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,wind_vx,wind_vy,v_disturbed_x,v_disturbed_y,h,correction,goal_distance,cbf_enabled
0.0009860992431640625,wind_bias,cbf_velocity_filter,"3.000,0.000,1.150",-0.004123380407691002,0.046085018664598465,-0.02108846604824066,0.003155899466946721,0.014233261346817017,0.0006446318002417684,0.42440626112123736,-0.0715617170155561,0.3328199431556898,0.10830921215595378,0.1,-0.18,0.43281994315568983,-0.07169078784404621,7.704381113657449,0.008414671987406013,6.314054269757681,True
0.051088809967041016,wind_bias,cbf_velocity_filter,"3.000,0.000,1.150",-0.0041633411310613155,0.04592513665556908,-0.022630736231803894,0.0030874263029545546,0.013713481836020947,0.00011964230361627415,0.42441765595658903,-0.07155501542186794,0.332817547288154,0.10831657406462489,0.1,-0.18,0.432817547288154,-0.0716834259353751,7.7046064983725735,0.008400872790495036,6.314141746788447,True
0.1011815071105957,wind_bias,cbf_velocity_filter,"3.000,0.000,1.150",-0.004444264806807041,0.0457846000790596,-0.024556800723075867,0.002676547970622778,0.01286312099546194,-0.000492716790176928,0.42447890372682956,-0.07155390457487719,0.33281674623058355,0.1083190353930802,0.1,-0.18,0.4328167462305835,-0.07168096460691979,7.706281569934914,0.008338810578802524,6.314452372016081,True
0.15117383003234863,wind_bias,cbf_velocity_filter,"3.000,0.000,1.150",-0.004934197291731834,0.04583742842078209,-0.026301994919776917,0.0022206311114132404,0.012573929503560066,-0.0010254178196191788,0.4245799987906847,-0.07156590679006153,0.33282020855825817,0.10830839660542253,0.1,-0.18,0.4328202085582582,-0.07169160339457746,7.709230599897534,0.008241168403205979,6.3149019050152155,True
0.20130443572998047,wind_bias,cbf_velocity_filter,"3.000,0.000,1.150",-0.004934197291731834,0.04583742842078209,-0.026301994919776917,0.0022206311114132404,0.012573929503560066,-0.0010254178196191788,0.4245799987906847,-0.07156590679006153,0.33282020855825817,0.10830839660542253,0.1,-0.18,0.4328202085582582,-0.07169160339457746,7.709230599897534,0.008241168403205979,6.3149019050152155,True
0.25132322311401367,wind_bias,cbf_velocity_filter,"3.000,0.000,1.150",-0.006317209452390671,0.04603259637951851,-0.030121564865112305,0.0006584998918697238,0.011809817515313625,-0.0026677818968892097,0.42486446563876196,-0.07160195570016156,0.33283072829386373,0.10827606523778119,0.1,-0.18,0.4328307282938637,-0.0717239347622188,7.71756216377905,0.00796719646937674,6.3161566664369015,True
0.3013932704925537,wind_bias,cbf_velocity_filter,"3.000,0.000,1.150",-0.006317209452390671,0.04603259637951851,-0.030121564865112305,0.0006584998918697238,0.011809817515313625,-0.0026677818968892097,0.42486446563876196,-0.07160195570016156,0.33283072829386373,0.10827606523778119,0.1,-0.18,0.4328307282938637,-0.0717239347622188,7.71756216377905,0.00796719646937674,6.3161566664369015,True
0.35146236419677734,wind_bias,cbf_velocity_filter,"3.000,0.000,1.150",-0.007067934609949589,0.046185776591300964,-0.032243430614471436,5.1185117627028376e-05,0.011412838473916054,-0.0034676254726946354,0.4250179576529894,-0.07162375049637376,0.33283720542481815,0.1082561531045575,0.1,-0.18,0.4328372054248182,-0.0717438468954425,7.722090689318689,0.00782017000213671,6.316823188170869,True
0.4015369415283203,wind_bias,cbf_velocity_filter,"3.000,0.000,1.150",-0.007520485203713179,0.04634730890393257,-0.03385770320892334,-0.0003765447181649506,0.010976806282997131,-0.004210226237773895,0.42510915493587303,-0.07164014491245231,0.332842236178877,0.1082406846589797,0.1,-0.18,0.43284223617887696,-0.0717593153410203,7.724827541962615,0.007733999424744238,6.31720359158775,True
0.45157957077026367,wind_bias,cbf_velocity_filter,"3.000,0.000,1.150",-0.007870523259043694,0.0465589314699173,-0.03522893786430359,-0.00048206973588094115,0.010660266503691673,-0.004621511325240135,0.42517803358091044,-0.07165690529615212,0.33284753862617455,0.10822437817098869,0.1,-0.18,0.43284753862617453,-0.0717756218290113,7.726952818790254,0.007670423798885264,6.3174710313910305,True
