t,scenario,controller,obstacles,x,y,z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,wind_vx,wind_vy,v_disturbed_x,v_disturbed_y,h,correction,goal_distance,cbf_enabled
0.0006809234619140625,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.023638982325792313,-0.012976232916116714,0.02624163031578064,-0.005998210050165653,-0.005075990688055754,0.010022157803177834,0.34560986537827354,-0.0552613875433077,0.3319547984880582,0.1109324648637748,0.1,-0.18,0.4319547984880582,-0.0690675351362252,7.820061078060846,0.0,6.35108651363529,False
0.05082297325134277,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.023130714893341064,-0.014262516982853413,0.026775270700454712,-0.00552893802523613,-0.006446086801588535,0.009677549824118614,0.3456183850037306,-0.05520807864265001,0.33193066778317776,0.11100464758294434,0.1,-0.18,0.4319306677831778,-0.06899535241705565,7.81702273872221,0.0,6.351012289077519,False
0.10081791877746582,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.02256348542869091,-0.015539017505943775,0.027141138911247253,-0.005023191682994366,-0.00772915268316865,0.009294569492340088,0.34562695513100367,-0.0551544004307107,0.3319063558082855,0.11107731980050552,0.1,-0.18,0.4319063558082855,-0.06892268019949448,7.813631484511886,0.0,6.350879345973108,False
0.1509232521057129,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.02187703549861908,-0.016759401187300682,0.02734389901161194,-0.004500850569456816,-0.008920310996472836,0.008933324366807938,0.3456354232029601,-0.055101308762230496,0.3318822955792566,0.1111491874960989,0.1,-0.18,0.4318822955792566,-0.0688508125039011,7.809521695202079,0.0,6.350615837298222,False
0.20096611976623535,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.020946525037288666,-0.018028195947408676,0.027401059865951538,-0.004006002563983202,-0.01005193218588829,0.008387572132050991,0.3456446434485265,-0.05504344152885917,0.3318560553931843,0.11122750783360985,0.1,-0.18,0.4318560553931843,-0.06877249216639014,7.803942922983987,0.0,6.35013660144389,False
0.25102949142456055,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.020094458013772964,-0.018929144367575645,0.027320995926856995,-0.003650592640042305,-0.010615827515721321,0.007972108200192451,0.34565155967643796,-0.05499999357496197,0.3318363429045281,0.1112863043134616,0.1,-0.18,0.4318363429045281,-0.06871369568653839,7.798828847831993,0.0,6.349615120098614,False
0.3011190891265869,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.019310465082526207,-0.01969589665532112,0.02715107798576355,-0.0033589755184948444,-0.010961801744997501,0.0075797997415065765,0.3456575574966032,-0.054962286574363424,0.3318192276026594,0.11133732614525325,0.1,-0.18,0.43181922760265945,-0.06866267385474674,7.7941236129019185,0.0,6.349115685669805,False
0.35120058059692383,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.01861710101366043,-0.020284419879317284,0.027018442749977112,-0.0033295294269919395,-0.011050223372876644,0.007207660470157862,0.3456623380920549,-0.05493221299687371,0.3318055721332036,0.1113780153412575,0.1,-0.18,0.4318055721332036,-0.06862198465874249,7.789960660221958,0.0,6.348645599324409,False
0.40126991271972656,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.017845578491687775,-0.020784640684723854,0.0269506573677063,-0.0033097926061600447,-0.011009703390300274,0.006829839199781418,0.3456667559083255,-0.05490440656098626,0.33179294215666705,0.11141563415886742,0.1,-0.18,0.4317929421566671,-0.06858436584113257,7.785323936910224,0.0,6.3480734062075275,False
0.451373815536499,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.017317399382591248,-0.021125255152583122,0.026968061923980713,-0.0034662990365177393,-0.010804534889757633,0.006692217197269201,0.34566976888579976,-0.0548854341190608,0.3317843224982235,0.11144129999418904,0.1,-0.18,0.4317843224982235,-0.06855870000581095,7.782150565022185,0.0,6.347681149989189,False
0.5014429092407227,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.016917988657951355,-0.02139289490878582,0.02708764374256134,-0.003933462779968977,-0.010560272261500359,0.006651098374277353,0.34567210542642546,-0.05487071650764364,0.3317776347014041,0.11146120900089702,0.1,-0.18,0.43177763470140407,-0.06853879099910297,7.779751806240517,0.0,6.347387755433204,False
0.5518004894256592,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.016547074541449547,-0.021609283983707428,0.027306675910949707,-0.004461470991373062,-0.010321279056370258,0.006752552464604378,0.34567408799558536,-0.054858225348805495,0.3317719577891038,0.11147810558484182,0.1,-0.18,0.4317719577891038,-0.06852189441515817,7.777523214078865,0.0,6.347105072177582,False
0.6016442775726318,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.016200441867113113,-0.02177760750055313,0.027529165148735046,-0.005050732754170895,-0.009870086796581745,0.006662553641945124,0.3456757435122891,-0.05484779254652028,0.3317672157612311,0.11149221742364238,0.1,-0.18,0.4317672157612311,-0.06850778257635762,7.775439369707817,0.0,6.346830110449838,False
0.651648998260498,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.01601872220635414,-0.02185572125017643,0.02756863832473755,-0.005864265374839306,-0.009533671662211418,0.006438102573156357,0.3456765524753216,-0.05484269385046846,0.33176489805383713,0.11149911398449333,0.1,-0.18,0.4317648980538371,-0.06850088601550666,7.774346605250615,0.0,6.346682741676115,False
0.7017300128936768,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.015818849205970764,-0.021924342960119247,0.027615070343017578,-0.006506366655230522,-0.009175300598144531,0.006368997506797314,0.34567734169921754,-0.05483771909700812,0.3317626365640838,0.11150584280676784,0.1,-0.18,0.43176263656408376,-0.06849415719323215,7.7731440080402585,0.0,6.3465151441650685,False
0.7517757415771484,wind_bias,baseline_no_cbf,"3.000,0.000,1.150",-0.015430845320224762,-0.021930145099759102,0.027711540460586548,-0.00686101196333766,-0.008909119293093681,0.0062808990478515625,0.34567813331253294,-0.054832728817401574,0.3317603678944175,0.11151259253806614,0.1,-0.18,0.4317603678944175,-0.06848740746193385,7.770804114172742,0.0,6.346149207708019,False
