t,scenario,controller,obstacles,x,y,z,x_rel,y_rel,z_rel,origin_x,origin_y,origin_z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,wind_vx,wind_vy,v_disturbed_x,v_disturbed_y,h,correction,goal_distance,cbf_enabled
0.0021915435791015625,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020210731774568558,0.0006266156560741365,-0.020322728902101517,-0.00835698563605547,-0.0002900595427490771,-0.07573043555021286,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.013485342264175415,0.0008871991303749382,-0.14920203387737274,0.11188213066179913,-0.18840150677064085,0.0012531406142925747,0.1499947653706649,0.0,0.0,0.0012531406142925747,0.1499947653706649,0.07334395906910902,0.3560208005693824,1.0003249684122444,True
0.0523219108581543,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020250985398888588,0.0006344546563923359,-0.02784293331205845,-0.0083972392603755,-0.0002822205424308777,-0.08325063996016979,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.012971526011824608,-0.0005564495222643018,-0.15200704336166382,0.11184155557275384,-0.18845386915166362,0.0012591861392776155,0.14999471474110898,0.0,0.0,0.0012591861392776155,0.14999471474110898,0.0733399256010891,0.35605604105048544,1.0003174667876655,True
0.10262823104858398,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020291246473789215,0.0006383050931617618,-0.03555574268102646,-0.008437500335276127,-0.0002783701056614518,-0.0909634493291378,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.012823384255170822,-0.000999135198071599,-0.15427857637405396,0.2317543653017331,-0.19185431205588516,0.001265227825344591,0.1499946639002534,0.0,0.0,0.001265227825344591,0.1499946639002534,0.07333829096522038,0.47607016844558897,1.0003139552726166,True
0.15298032760620117,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020353889092803,0.0006453296518884599,-0.04264363646507263,-0.008500142954289913,-0.00027134554693475366,-0.09805134311318398,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.01327022910118103,-0.0017035611672326922,-0.15415047109127045,0.35164340212049944,-0.1953272817727602,0.0012746295438741233,0.1499945843006536,0.0,0.0,0.0012746295438741233,0.1499945843006536,0.07333513338681005,0.5960975540287742,1.000307461310031,True
0.2028975486755371,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020375501364469528,0.0007191462209448218,-0.048514388501644135,-0.00852175522595644,-0.00019752897787839174,-0.10392209514975548,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.013131360523402691,-0.0016893587308004498,-0.15492787957191467,0.3516078336618691,-0.19576568235822414,0.0012779644557979776,0.14999455592403918,0.0,0.0,0.0012779644557979776,0.14999455592403918,0.07329117671655526,0.5964844451514686,1.0002338313042531,True
0.253040075302124,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020409556105732918,0.0007666725432500243,-0.05443252995610237,-0.00855580996721983,-0.00015000265557318926,-0.10984023660421371,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.013581270352005959,-0.0013370775850489736,-0.15505951642990112,0.11166224981030073,-0.18922970361997804,0.0012831320659258726,0.14999451180660373,0.0,0.0,0.0012831320659258726,0.14999451180660373,0.07326322597833577,0.35673045561853356,1.0001865974387671,True
0.30312013626098633,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020428089424967766,0.0007548111025243998,-0.05935170501470566,-0.008574343286454678,-0.00016186409629881382,-0.114759411662817,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.014514115639030933,-0.0018963511101901531,-0.15534192323684692,0.2315975279931872,-0.19259320910721714,0.0012858960919469773,0.14999448813620025,0.0,0.0,0.0012858960919469773,0.14999448813620025,0.07327066402055893,0.47666479794277394,1.0001986171533017,True
0.3535001277923584,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020434793084859848,0.0006197000038810074,-0.06434040516614914,-0.00858104694634676,-0.00029697519494220614,-0.11974811181426048,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.014710487797856331,-0.003910188563168049,-0.15395662188529968,0.11166578225468674,-0.1884082917860942,0.0012867275570364461,0.14999448100578222,0.0,0.0,0.0012867275570364461,0.14999448100578222,0.07335190767792714,0.35594939577020945,1.0003337807706216,True
0.40351438522338867,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020311826840043068,0.0004069363931193948,-0.06826779991388321,-0.00845808070152998,-0.0005097388057038188,-0.12367550656199455,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.014835027977824211,-0.00363893317990005,-0.15209069848060608,0.23177778007084301,-0.19056383923091985,0.0012680204133984335,0.14999464031835005,0.0,0.0,0.0012680204133984335,0.14999464031835005,0.07347764224622592,0.4748447932409934,1.0005454895077042,True
0.45395851135253906,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020205317065119743,0.00012690127186942846,-0.07234722375869751,-0.008351570926606655,-0.0007897739269537851,-0.12775493040680885,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.014789201319217682,-0.003613688051700592,-0.1503860354423523,0.11198018273212801,-0.18559347154565636,0.0012517034590747375,0.14999477737058226,0.0,0.0,0.0012517034590747375,0.14999477737058226,0.0736442368359701,0.3533840247277603,1.0008246201676423,True
0.5040156841278076,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.020030174404382706,-0.00018311127496417612,-0.07543682307004929,-0.008176428265869617,-0.0010997864737873897,-0.13084452971816063,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.013533728197216988,-0.004161268472671509,-0.14932145178318024,0.23216032689281102,-0.18707553543733743,0.001225076012918533,0.14999499721244897,0.0,0.0,0.001225076012918533,0.14999499721244897,0.07382793539374727,0.4717778191980978,1.0011331761843922,True
0.5541365146636963,hitl_campaign_conservative,cbf_velocity_filter,"-0.012,0.301,0.130",-0.01988539844751358,-0.0005119399284012616,-0.07885938882827759,-0.008031652309000492,-0.0014286151272244751,-0.13426709547638893,-0.011853746138513088,0.0009166751988232136,0.05540770664811134,-0.01276337169110775,-0.0032619740813970566,-0.1470482051372528,0.232358360230555,-0.18514144019168208,0.0012029904909945301,0.149995175968691,0.0,0.0,0.0012029904909945301,0.149995175968691,0.07402371745632909,0.4700705021147285,1.0014608223163017,True
