t,x,y,z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,h,correction,goal_distance,cbf_enabled
0.0006554126739501953,0.00024583295453339815,0.012360510416328907,0.02004268765449524,-0.012702531181275845,0.004453523084521294,0.0016515552997589111,0.3322425718903882,0.11006758570832839,0.3322425718903882,0.11006758570832839,7.676177844924393,0.0,6.320424100132196,False
0.05076265335083008,0.0006735158967785537,0.012179283425211906,0.019753307104110718,-0.012644961476325989,0.004010282456874847,0.0013933635782450438,0.33223723311843606,0.11008369965533475,0.3322372331184361,0.11008369965533477,7.673607693187744,0.0,6.320075115384802,False
0.10082221031188965,0.0012953098630532622,0.012014385312795639,0.019470185041427612,-0.012637590989470482,0.00372028979472816,0.0009456342668272555,0.33223109918360694,0.11010221040130086,0.33223109918360694,0.11010221040130086,7.669874164103767,0.0,6.319536752300303,False
0.15089058876037598,0.0022300765849649906,0.01180337555706501,0.01926243305206299,-0.012185697443783283,0.0034367628395557404,0.0007344622281379998,0.3322224841596583,0.11012820264939197,0.3322224841596584,0.11012820264939198,7.664263833406327,0.0,6.318715840395758,False
0.2009420394897461,0.0035944802220910788,0.01155440229922533,0.01909370720386505,-0.011322368867695332,0.0030584263149648905,0.0006627381080761552,0.3322108787231453,0.11016320646202901,0.33221087872314536,0.11016320646202903,7.656079543168014,0.0,6.3174991137821745,False
0.25101232528686523,0.005298664793372154,0.011235048063099384,0.01897948980331421,-0.010152052156627178,0.002782641677185893,0.00042648790986277163,0.33219623293152895,0.11020736284886487,0.33219623293152895,0.11020736284886487,7.645862313393339,0.0,6.3159821193841825,False
0.30111241340637207,0.007618407718837261,0.010679158382117748,0.018954738974571228,-0.00860589649528265,0.002169771585613489,0.00045234820572659373,0.33217426763337654,0.11027355041998924,0.3321742676333766,0.11027355041998926,7.6319616382468976,0.0,6.313955539786877,False
0.35120296478271484,0.009727458469569683,0.010026573203504086,0.018992885947227478,-0.007293746341019869,0.0017093600472435355,0.0003605803067330271,0.3321518320272851,0.11034110965962847,0.3321518320272851,0.11034110965962847,7.6193304048010635,0.0,6.312159643194208,False
0.4013025760650635,0.01189219206571579,0.009196591563522816,0.018900319933891296,-0.005967919249087572,0.0007748770294710994,0.0004248770128469914,0.33212611710272905,0.11041848730291627,0.3321261171027291,0.11041848730291628,7.606372849134219,0.0,6.310367131196554,False
0.4513821601867676,0.014120398089289665,0.00813140720129013,0.018667131662368774,-0.004573869984596968,-0.00039395413477905095,0.00026746673393063247,0.3320961093752243,0.11050870616308493,0.3320961093752243,0.11050870616308493,7.593043116889534,0.0,6.308588994343238,False
0.5015418529510498,0.016892248764634132,0.0066283950582146645,0.01839485764503479,-0.002730601467192173,-0.0019610559102147818,0.00010297039989382029,0.33205576103937445,0.11062988547658287,0.33205576103937445,0.11062988547658287,7.5764757911015685,0.0,6.306433914525776,False
0.5515527725219727,0.019272318109869957,0.005215048789978027,0.018091529607772827,-0.0012200255878269672,-0.003385429037734866,-2.9656079277629033e-05,0.33201901264442335,0.11074012480859059,0.33201901264442335,0.11074012480859059,7.56226471031999,0.0,6.304622955141795,False
0.6017208099365234,0.021533308550715446,0.003818824654445052,0.01769469678401947,3.425710019655526e-05,-0.004675255157053471,-0.00014017238572705537,0.33198315540564155,0.11084757339208491,0.33198315540564155,0.11084757339208491,7.5487784154945885,0.0,6.302920217293926,False
0.6516990661621094,0.023777008056640625,0.002476535039022565,0.017253071069717407,0.0014118802500888705,-0.005915667861700058,-0.0004198409151285887,0.33194824121951383,0.11095208493431498,0.33194824121951383,0.11095208493431498,7.535409430998081,0.0,6.301217441296734,False
0.7018663883209229,0.02641921676695347,0.0010774655966088176,0.016682147979736328,0.002762776566669345,-0.007006623782217503,-0.000660895137116313,0.3319100964337788,0.11106614193947521,0.3319100964337788,0.11106614193947521,7.519683835344971,0.0,6.299155393571175,False
0.7518320083618164,0.02857225574553013,-3.950004554553743e-07,0.016254767775535583,0.003973339684307575,-0.00787691306322813,-0.0009439202840439975,0.3318800070646082,0.11115602057826465,0.3318800070646082,0.11115602057826465,7.506882839325364,0.0,6.297455905749083,False
0.80202317237854,0.02857225574553013,-3.950004554553743e-07,0.016254767775535583,0.003973339684307575,-0.00787691306322813,-0.0009439202840439975,0.3318800070646082,0.11115602057826465,0.3318800070646082,0.11115602057826465,7.506882839325364,0.0,6.297455905749083,False
0.8519628047943115,0.030645208433270454,-0.0009820919949561357,0.015828847885131836,0.004980032332241535,-0.008837017230689526,-0.001218195422552526,0.3318519379065288,0.11123979192573737,0.3318519379065288,0.11123979192573737,7.494568842704982,0.0,6.295802249124823,False
