t,scenario,controller,obstacles,x,y,z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,wind_vx,wind_vy,v_disturbed_x,v_disturbed_y,h,correction,goal_distance,cbf_enabled
0.0006089210510253906,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",-0.011496679857373238,-0.0020512514747679234,-0.005066469311714172,-0.017028840258717537,-0.0005698004388250411,0.011159057728946209,0.3199999813708717,0.00010919085024401646,0.3199999813708717,0.00010919085024401646,0.0,0.0,0.3199999813708717,0.00010919085024401646,9.449319082622536,0.0,6.0114970298228405,True
0.05076766014099121,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",-0.011191992089152336,-0.0018599078757688403,-0.006858989596366882,-0.016912152990698814,-0.0005041068070568144,0.010230514220893383,0.3199999846827211,9.901039470051155e-05,0.3199999846827211,9.901039470051155e-05,0.0,0.0,0.3199999846827211,9.901039470051155e-05,9.447846847515184,0.0,6.011192279823867,True
0.10081744194030762,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",-0.010979865677654743,-0.0018939540022984147,-0.008638113737106323,-0.016883794218301773,-0.0006072373944334686,0.009538819082081318,0.3199999841156935,0.00010082636511759824,0.3199999841156935,0.00010082636511759824,0.0,0.0,0.3199999841156935,0.00010082636511759824,9.446504825973625,0.0,6.01098016405344,True
0.1509227752685547,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",-0.010819890536367893,-0.0021859221160411835,-0.010481104254722595,-0.016915008425712585,-0.0009896422270685434,0.008745843544602394,0.3199999788396972,0.00011637264859319986,0.3199999788396973,0.00011637264859319988,0.0,0.0,0.3199999788396973,0.00011637264859319988,9.444987939484445,0.0,6.0108202880075465,True
0.20097088813781738,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",-0.010582484304904938,-0.0027970504015684128,-0.012748286128044128,-0.016854219138622284,-0.0015871610958129168,0.007735852152109146,0.3199999653512658,0.00014891335971594193,0.3199999653512658,0.00014891335971594193,0.0,0.0,0.3199999653512658,0.00014891335971594193,9.442400322531462,0.0,6.010583135114585,True
0.2511413097381592,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",-0.010527984239161015,-0.003494732780382037,-0.014698967337608337,-0.017159901559352875,-0.002256585517898202,0.006804458796977997,0.3199999459093036,0.00018605924531458332,0.3199999459093036,0.00018605924531458332,0.0,0.0,0.3199999459093036,0.00018605924531458332,9.440750964761587,0.0,6.010529000219472,True
0.30113959312438965,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",-0.010689979419112206,-0.004208227153867483,-0.016680672764778137,-0.017704732716083527,-0.0028929621912539005,0.00572560727596283,0.31999992157229346,0.00022403956347888905,0.31999992157229346,0.00022403956347888905,0.0,0.0,0.31999992157229346,0.00022403956347888905,9.440376229758085,0.0,6.010691452558941,True
0.35122179985046387,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",-0.01088805589824915,-0.004856203217059374,-0.018678486347198486,-0.018118606880307198,-0.0034457091242074966,0.004886855836957693,0.3199998955673749,0.0002585282753333071,0.3199998955673749,0.0002585282753333071,0.0,0.0,0.3199998955673749,0.0002585282753333071,9.440343681748011,0.0,6.010890017563948,True
0.40129661560058594,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",-0.010895750485360622,-0.005593246780335903,-0.021068096160888672,-0.018462378531694412,-0.0036440114490687847,0.003849747823551297,0.31999986146188586,0.00029776563579315187,0.31999986146188586,0.00029776563579315187,0.0,0.0,0.31999986146188586,0.00029776563579315187,9.43899733581771,0.0,6.010898352793242,True
0.45139431953430176,narrow_passage,cbf_velocity_filter,"3.000,-0.950,0.720;3.000,0.950,0.720",-0.010662646032869816,-0.006282112095504999,-0.022972434759140015,-0.018284644931554794,-0.003959484398365021,0.0028832724783569574,0.31999982522219417,0.00033445143921272043,0.31999982522219417,0.00033445143921272043,0.0,0.0,0.31999982522219417,0.00033445143921272043,9.436293020168563,0.0,6.010665928942253,True
