t,x,y,z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,h,correction,goal_distance,cbf_enabled
0.0006351470947265625,-0.003877046052366495,-0.021109672263264656,-0.0028670281171798706,-0.011664150282740593,-0.018727371469140053,0.010150236077606678,0.331709224907764,0.11166463231968474,0.331709224907764,0.11166463231968474,7.701222926063354,0.0,6.334936770910237,True
0.05074667930603027,-0.004189742263406515,-0.021523883566260338,-0.0024079084396362305,-0.011368384584784508,-0.018829450011253357,0.010265608318150043,0.3317040637466274,0.11167996281326971,0.3317040637466274,0.11167996281326971,7.703119285084448,0.0,6.335365283306869,True
0.1008143424987793,-0.004511223174631596,-0.021705463528633118,-0.001904413104057312,-0.011109951883554459,-0.018663039430975914,0.01033517811447382,0.33170283850642074,0.11168360187056699,0.33170283850642074,0.11168360187056699,7.705058817329313,0.0,6.335727899025623,True
0.15084123611450195,-0.004792461171746254,-0.021537447348237038,-0.001606673002243042,-0.010851606726646423,-0.01820317469537258,0.010277772322297096,0.3317072269248576,0.11167056732112093,0.3317072269248576,0.11167056732112093,7.70674159635284,0.0,6.335940826173826,True
0.20136570930480957,-0.005057965870946646,-0.021202024072408676,-0.0013563483953475952,-0.01054562907665968,-0.01741502434015274,0.010095867328345776,0.3317143219632404,0.11164948994271155,0.3317143219632404,0.11164948994271155,7.708322904069199,0.0,6.336085447307708,True
0.2509884834289551,-0.00530568603426218,-0.020762568339705467,-0.0011307299137115479,-0.010394768789410591,-0.01669691875576973,0.009955136105418205,0.33172305245965417,0.1116235479943615,0.33172305245965417,0.1116235479943615,7.7097933507539285,0.0,6.3361800590196555,True
0.3011741638183594,-0.005548612680286169,-0.020102931186556816,-0.0009216815233230591,-0.010133658535778522,-0.015765883028507233,0.009754665195941925,0.33173542914831533,0.11158676018140792,0.33173542914831533,0.11158676018140792,7.7112265910266835,0.0,6.3361999646361085,True
0.35117411613464355,-0.005780471954494715,-0.0193424504250288,-0.0008689612150192261,-0.010057643987238407,-0.014806760475039482,0.009569782763719559,0.33174942233719357,0.11154515130178606,0.33174942233719357,0.11154515130178606,7.712590375971429,0.0,6.336177318336231,True
0.40135884284973145,-0.006160991732031107,-0.01842847280204296,-0.0010064542293548584,-0.010190923698246479,-0.013772590085864067,0.009409661404788494,0.33176680414151566,0.11149344227229312,0.3317668041415157,0.11149344227229313,7.714843516821125,0.0,6.336246787998514,True
0.45134711265563965,-0.006598249543458223,-0.017612911760807037,-0.0012389421463012695,-0.010409659706056118,-0.01282748393714428,0.009068802930414677,0.3317828543916736,0.11144567076254452,0.3317828543916736,0.11144567076254452,7.717443248818482,0.0,6.33640153345118,True
0.5014693737030029,-0.007267019245773554,-0.01684637926518917,-0.0015612393617630005,-0.010986680164933205,-0.012181258760392666,0.008635872043669224,0.3317993752564861,0.11139647471713586,0.3317993752564861,0.11139647471713586,7.7214387255377055,0.0,6.336791487659437,True
0.5514841079711914,-0.007917983457446098,-0.016355015337467194,-0.0018104463815689087,-0.011405020020902157,-0.011801907792687416,0.00821977760642767,0.3318112033745342,0.11136123793826774,0.3318112033745342,0.11136123793826774,7.725338081733398,0.0,6.337252247135815,True
0.6016271114349365,-0.008717896416783333,-0.016055047512054443,-0.0021725594997406006,-0.011851219460368156,-0.011712413281202316,0.008051430806517601,0.3318206708425593,0.1113330247572295,0.3318206708425593,0.1113330247572295,7.730141144769249,0.0,6.337915170883733,True
0.6516201496124268,-0.009721007198095322,-0.015977879986166954,-0.0025995969772338867,-0.012603729963302612,-0.011820647865533829,0.007879436016082764,0.33182755941984626,0.111312491704518,0.33182755941984626,0.111312491704518,7.73617583381837,0.0,6.338841644729075,True
0.7017209529876709,-0.011242625303566456,-0.01616353541612625,-0.0028948187828063965,-0.013873881660401821,-0.01214500330388546,0.007809833157807589,0.33183296481657365,0.11129637667526558,0.33183296481657365,0.11129637667526558,7.745343408322265,0.0,6.340343311036727,True
0.751762866973877,-0.012678688392043114,-0.01656373031437397,-0.0030475854873657227,-0.015167634934186935,-0.012746106833219528,0.007716228254139423,0.33183432015763364,0.11129233560996508,0.33183432015763364,0.11129233560996508,7.754007236653528,0.0,6.341832092405418,True
0.8018221855163574,-0.012678688392043114,-0.01656373031437397,-0.0030475854873657227,-0.015167634934186935,-0.012746106833219528,0.007716228254139423,0.33183432015763364,0.11129233560996508,0.33183432015763364,0.11129233560996508,7.754007236653528,0.0,6.341832092405418,True
0.851914644241333,-0.014100096188485622,-0.017092932015657425,-0.0032134801149368286,-0.01646309718489647,-0.013437408953905106,0.007784864865243435,0.33183344714700197,0.11129493858454587,0.33183344714700197,0.11129493858454587,7.76259155816833,0.0,6.343348001123845,True
0.9019973278045654,-0.015438057482242584,-0.017630724236369133,-0.003419220447540283,-0.01762465201318264,-0.014320488087832928,0.00767080532386899,0.3318319661862541,0.11129935407254031,0.3318319661862541,0.11129935407254031,7.770677520949379,0.0,6.344787527001067,True
0.9520754814147949,-0.01672728918492794,-0.0181664377450943,-0.003593653440475464,-0.018465297296643257,-0.015032379887998104,0.007577958982437849,0.33183024861406113,0.11130447477406441,0.33183024861406113,0.11130447477406441,7.77847355677339,0.0,6.34618019306601,True
1.0022094249725342,-0.017575349658727646,-0.0183735229074955,-0.0037650763988494873,-0.018844906240701675,-0.01527251023799181,0.0073897638358175755,0.33183153505317414,0.11130063946022063,0.3318315350531742,0.11130063946022065,7.783598577212025,0.0,6.347050083841656,True
1.0522634983062744,-0.017575349658727646,-0.0183735229074955,-0.0037650763988494873,-0.018844906240701675,-0.01527251023799181,0.0073897638358175755,0.33183153505317414,0.11130063946022063,0.3318315350531742,0.11130063946022065,7.783598577212025,0.0,6.347050083841656,True
1.1023509502410889,-0.018146688118577003,-0.018387537449598312,-0.003973096609115601,-0.018799392506480217,-0.015227129682898521,0.007175503298640251,0.3318344877055006,0.11129183604033112,0.3318344877055006,0.11129183604033112,7.787047532534595,0.0,6.347596223063062,True
1.1524507999420166,-0.018472088500857353,-0.01825251244008541,-0.004265904426574707,-0.018335850909352303,-0.015052401460707188,0.007023399695754051,0.33183854595142503,0.11127973499628749,0.33183854595142503,0.11127973499628749,7.789006903269103,0.0,6.347861804106528,True
1.2025227546691895,-0.01873648352921009,-0.018037645146250725,-0.004707351326942444,-0.017869336530566216,-0.014762491919100285,0.0066827344708144665,0.3318435903297318,0.11126469142128192,0.3318435903297319,0.11126469142128195,7.790595313632723,0.0,6.348044170876017,True
1.2526171207427979,-0.01893622800707817,-0.017591144889593124,-0.0052119046449661255,-0.01741115190088749,-0.014248795807361603,0.006325466558337212,0.3318521222658247,0.11123924194126869,0.3318521222658247,0.11123924194126869,7.7917853971521325,0.0,6.348091630147833,True
1.3027524948120117,-0.01903640106320381,-0.016955310478806496,-0.0058500319719314575,-0.016787976026535034,-0.013522620312869549,0.005848272703588009,0.33186324286471536,0.1112060611446827,0.33186324286471536,0.1112060611446827,7.792368273498095,0.0,6.347984555887998,True
1.3528401851654053,-0.019081635400652885,-0.016278866678476334,-0.006473109126091003,-0.016072135418653488,-0.012598836794495583,0.005388325080275536,0.3318747292807957,0.11117177728541768,0.3318747292807957,0.11117177728541768,7.792618922713817,0.0,6.347812552512215,True
1.4028172492980957,-0.019026808440685272,-0.015576177276670933,-0.007187113165855408,-0.014905084855854511,-0.011679314076900482,0.005063716787844896,0.3318860922162918,0.11113785040839601,0.3318860922162918,0.11113785040839601,7.792265487382105,0.0,6.34753740021537,True
