t,scenario,controller,obstacles,x,y,z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,wind_vx,wind_vy,v_disturbed_x,v_disturbed_y,h,correction,goal_distance,cbf_enabled
0.0006554126739501953,narrow_passage,baseline_no_cbf,"3.000,-0.950,0.720;3.000,0.950,0.720",0.019454482942819595,-0.0012620179913938046,-0.017478331923484802,0.002221831353381276,-0.003462514840066433,-0.0034252330660820007,0.31999999287525277,6.752657380545725e-05,0.3199999928752528,6.752657380545727e-05,0.0,0.0,0.3199999928752528,6.752657380545727e-05,9.265355337755418,0.0,5.980545650213043,False
0.05077362060546875,narrow_passage,baseline_no_cbf,"3.000,-0.950,0.720;3.000,0.950,0.720",0.020643694326281548,-0.002054208889603615,-0.01770806312561035,0.0027280012145638466,-0.0042496779933571815,-0.0035100963432341814,0.3199999811157263,0.00010993604867754204,0.3199999811157263,0.00010993604867754204,0.0,0.0,0.3199999811157263,0.00010993604867754204,9.256765219041663,0.0,5.979356658535617,False
0.10085058212280273,narrow_passage,baseline_no_cbf,"3.000,-0.950,0.720;3.000,0.950,0.720",0.021671732887625694,-0.0027446525637060404,-0.018103361129760742,0.002927858382463455,-0.004973754286766052,-0.0038125189021229744,0.3199999662763052,0.0001469120945829786,0.3199999662763052,0.0001469120945829786,0.0,0.0,0.3199999662763052,0.0001469120945829786,9.249331959927252,0.0,5.978328897147809,False
0.15091419219970703,narrow_passage,baseline_no_cbf,"3.000,-0.950,0.720;3.000,0.950,0.720",0.02222358249127865,-0.0031854903791099787,-0.018253564834594727,0.0028654637280851603,-0.005501033738255501,-0.003978095483034849,0.3199999545647261,0.0001705244066331924,0.3199999545647261,0.0001705244066331924,0.0,0.0,0.3199999545647261,0.0001705244066331924,9.245210108299721,0.0,5.977777266264807,False
0.20096111297607422,narrow_passage,baseline_no_cbf,"3.000,-0.950,0.720;3.000,0.950,0.720",0.022312520071864128,-0.0034376056864857674,-0.018293529748916626,0.0022731267381459475,-0.00559577951207757,-0.0039841607213020325,0.3199999470866106,0.0001840232768062512,0.3199999470866106,0.0001840232768062512,0.0,0.0,0.3199999470866106,0.0001840232768062512,9.244203094449306,0.0,5.977688468364878,False
0.2510378360748291,narrow_passage,baseline_no_cbf,"3.000,-0.950,0.720;3.000,0.950,0.720",0.022097475826740265,-0.003469091607257724,-0.018253609538078308,0.0014521890552714467,-0.005662183742970228,-0.003973776940256357,0.3199999461167539,0.0001857021125566249,0.3199999461167539,0.0001857021125566249,0.0,0.0,0.3199999461167539,0.0001857021125566249,9.245424204020262,0.0,5.977903530763407,False
0.30112361907958984,narrow_passage,baseline_no_cbf,"3.000,-0.950,0.720;3.000,0.950,0.720",0.021741123870015144,-0.003248995402827859,-0.018006324768066406,0.0005428532604128122,-0.005491345189511776,-0.003567466279491782,0.3199999527427282,0.00017390989532378533,0.3199999527427282,0.00017390989532378533,0.0,0.0,0.3199999527427282,0.00017390989532378533,9.247963397952795,0.0,5.9782597589932545,False
0.3511843681335449,narrow_passage,baseline_no_cbf,"3.000,-0.950,0.720;3.000,0.950,0.720",0.021459992974996567,-0.0029952158220112324,-0.01757650077342987,-0.00016511189460288733,-0.00542861595749855,-0.00304222758859396,0.319999959840725,0.00016031822846910155,0.319999959840725,0.00016031822846910155,0.0,0.0,0.319999959840725,0.00016031822846910155,9.250118634704506,0.0,5.978540757318323,False
0.40126943588256836,narrow_passage,baseline_no_cbf,"3.000,-0.950,0.720;3.000,0.950,0.720",0.02112450636923313,-0.0027286112308502197,-0.016759201884269714,-0.0010022675851359963,-0.005369639955461025,-0.0025766552425920963,0.3199999666754556,0.00014604008795174068,0.31999996667545566,0.0001460400879517407,0.0,0.0,0.31999996667545566,0.0001460400879517407,9.25262229053458,0.0,5.978876116266149,False
0.45137572288513184,narrow_passage,baseline_no_cbf,"3.000,-0.950,0.720;3.000,0.950,0.720",0.020898880437016487,-0.0024087701458483934,-0.015840590000152588,-0.00137998815625906,-0.005211707204580307,-0.0021213681902736425,0.31999997403197905,0.00012891676670235525,0.31999997403197905,0.00012891676670235525,0.0,0.0,0.31999997403197905,0.00012891676670235525,9.254572619477925,0.0,5.979101604767471,False
