t,scenario,controller,obstacles,x,y,z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,wind_vx,wind_vy,v_disturbed_x,v_disturbed_y,h,correction,goal_distance,cbf_enabled
0.0006670951843261719,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",-0.0033154080156236887,0.02967206761240959,0.014208033680915833,-0.004410179331898689,0.015403865836560726,0.0014598474372178316,0.33254706986695287,0.10914415386498705,0.33254706986695287,0.10914415386498705,0.0,0.0,0.33254706986695287,0.10914415386498705,7.198283871620447,0.0,6.3183849241134835,True
0.05079340934753418,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",-0.0030779687222093344,0.02985399216413498,0.014840573072433472,-0.003935954999178648,0.015246064402163029,0.001832150504924357,0.3325487767457038,0.1091389531053693,0.3325487767457038,0.1091389531053693,0.0,0.0,0.3325487767457038,0.1091389531053693,7.196868547072848,0.0,6.318102594193099,True
0.10086750984191895,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",-0.00265874108299613,0.030151844024658203,0.015179455280303955,-0.003203010419383645,0.015229028649628162,0.002096588024869561,0.33255140725098736,0.10913093757220223,0.33255140725098736,0.10913093757220223,0.0,0.0,0.33255140725098736,0.10913093757220223,7.194368649100211,0.0,6.317611393517296,True
0.15093350410461426,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",-0.002153742592781782,0.030515627935528755,0.015298157930374146,-0.002473598113283515,0.01526301447302103,0.00217042351141572,0.33255465818824226,0.10912103059127207,0.3325546581882423,0.10912103059127208,0.0,0.0,0.3325546581882423,0.10912103059127208,7.191358297712146,0.0,6.3170181447837175,True
0.20098257064819336,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",-0.0015230901772156358,0.03096030466258526,0.01534697413444519,-0.001326838624663651,0.015328091569244862,0.0022775093093514442,0.3325585605045145,0.10910913726707376,0.3325585605045145,0.10910913726707376,0.0,0.0,0.3325585605045145,0.10910913726707376,7.1875994013317825,0.0,6.3162802917337935,True
0.2510812282562256,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",-0.000830292992759496,0.03143458068370819,0.015479624271392822,-0.0002826034324243665,0.015396148897707462,0.0023397046606987715,0.3325626145232077,0.1090967800692961,0.3325626145232077,0.1090967800692961,0.0,0.0,0.3325626145232077,0.1090967800692961,7.183470580205771,0.0,6.315474171859742,True
0.30115556716918945,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",-7.302367885131389e-05,0.031895074993371964,0.01565214991569519,0.0007589671295136213,0.015328220091760159,0.0023950343020260334,0.332566095771026,0.10908616751731971,0.332566095771026,0.10908616751731971,0.0,0.0,0.332566095771026,0.10908616751731971,7.178955443214399,0.0,6.314611095333902,True
0.3512241840362549,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",0.0004877827304881066,0.032275404781103134,0.015822723507881165,0.001573838060721755,0.015366851352155209,0.0023063132539391518,0.3325693194400753,0.10907633917199985,0.3325693194400753,0.10907633917199985,0.0,0.0,0.3325693194400753,0.10907633917199985,7.175615243302849,0.0,6.313959686899775,True
0.4012947082519531,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",0.0008276373264379799,0.03264732286334038,0.016039907932281494,0.0019078218610957265,0.015360026620328426,0.0025862723123282194,0.3325735948261298,0.10906330283108615,0.3325735948261298,0.10906330283108615,0.0,0.0,0.3325735948261298,0.10906330283108615,7.173600708715059,0.0,6.313520855537192,True
0.4513983726501465,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",0.0009397469693794847,0.033047597855329514,0.01632291078567505,0.002135270042344928,0.01533333770930767,0.002957168035209179,0.3325795613701669,0.10904510699168196,0.332579561370167,0.10904510699168198,0.0,0.0,0.332579561370167,0.10904510699168198,7.172954545032097,0.0,6.313289607787251,True
0.5014958381652832,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",0.0010437428718432784,0.03357107192277908,0.016690373420715332,0.0021523500327020884,0.015561752952635288,0.0031885472126305103,0.3325875927484516,0.10902060883057867,0.3325875927484516,0.10902060883057867,0.0,0.0,0.3325875927484516,0.10902060883057867,7.172365649038168,0.0,6.313027712921589,True
0.5515730381011963,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",0.0013223850401118398,0.03396768122911453,0.017039969563484192,0.002574469894170761,0.015662524849176407,0.003506455337628722,0.33259260221857667,0.1090053253262225,0.33259260221857667,0.1090053253262225,0.0,0.0,0.33259260221857667,0.1090053253262225,7.170721241829607,0.0,6.312639400969493,True
0.6017258167266846,large_obstacle,cbf_velocity_filter,"3.000,0.000,1.350",0.0017181015573441982,0.03428809344768524,0.01738746464252472,0.002952745882794261,0.01564519666135311,0.0035981577821075916,0.33259573180941177,0.10899577598311694,0.3325957318094118,0.10899577598311695,0.0,0.0,0.3325957318094118,0.10899577598311695,7.168370015881173,0.0,6.312163577787443,True
