t,scenario,controller,obstacles,x,y,z,vx,vy,vz,v_cmd_x,v_cmd_y,v_des_x,v_des_y,wind_vx,wind_vy,v_disturbed_x,v_disturbed_y,h,correction,goal_distance,cbf_enabled
0.0006463527679443359,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",-0.004084842279553413,0.028299039229750633,0.032387107610702515,0.007003982085734606,0.016653932631015778,-0.01118319109082222,0.33252867819758847,0.10920017479914867,0.33252867819758847,0.10920017479914867,0.0,0.0,0.33252867819758847,0.10920017479914867,7.202826575235097,0.0,6.319544245591878,False
0.05077171325683594,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",-0.0029526774305850267,0.02831009216606617,0.033097341656684875,0.008351537398993969,0.01629650592803955,-0.010578956454992294,0.33252275432359063,0.10921821211250879,0.33252275432359063,0.10921821211250879,0.0,0.0,0.33252275432359063,0.10921821211250879,7.196026244205971,0.0,6.31846515699226,False
0.10085201263427734,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",-0.0017239125445485115,0.028354762122035027,0.03385068476200104,0.009809996001422405,0.01608683168888092,-0.00990235898643732,0.33251685837422734,0.10923616112320139,0.3325168583742274,0.10923616112320142,0.0,0.0,0.3325168583742274,0.10923616112320142,7.188650439676751,0.0,6.317283820318341,False
0.15095973014831543,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",-0.0003726404393091798,0.028400329872965813,0.03471653163433075,0.011185089126229286,0.01604985073208809,-0.009236316196620464,0.3325103125008647,0.10925608486751329,0.3325103125008647,0.10925608486751329,0.0,0.0,0.3325103125008647,0.10925608486751329,7.180542560233647,0.0,6.31598583622364,False
0.20102953910827637,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",0.001253500347957015,0.0283183716237545,0.03587523102760315,0.01290533784776926,0.015940824523568153,-0.00845224130898714,0.332500180814253,0.10928691485483999,0.33250018081425303,0.10928691485484002,0.0,0.0,0.33250018081425303,0.10928691485484002,7.170782499346803,0.0,6.31446656581251,False
0.25109291076660156,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",0.0026765363290905952,0.028057191520929337,0.03692430257797241,0.014199589379131794,0.015427210368216038,-0.007828651927411556,0.332488191697828,0.10932338442212791,0.33248819169782806,0.10932338442212793,0.0,0.0,0.33248819169782806,0.10932338442212793,7.16223515186822,0.0,6.313196271922009,False
0.3011913299560547,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",0.0040196808986365795,0.02765592932701111,0.03802362084388733,0.015363451093435287,0.014817740768194199,-0.0073073310777544975,0.3324743207078544,0.10936556162636742,0.3324743207078544,0.10936556162636742,0.0,0.0,0.3324743207078544,0.10936556162636742,7.154162922869647,0.0,6.312045715944221,False
0.35123229026794434,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",0.005381584633141756,0.027217891067266464,0.039182037115097046,0.01644401252269745,0.01402187068015337,-0.006500548683106899,0.33245973202756834,0.10940990165500297,0.3324597320275684,0.10940990165500299,0.0,0.0,0.3324597320275684,0.10940990165500299,7.145980267248463,0.0,6.310888938587063,False
0.4013228416442871,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",0.00686646718531847,0.02646131068468094,0.04065798223018646,0.01756923459470272,0.012794211506843567,-0.005698050372302532,0.3324392158763034,0.10947222363480406,0.3324392158763034,0.10947222363480406,0.0,0.0,0.3324392158763034,0.10947222363480406,7.137048546222848,0.0,6.30971508868445,False
0.45138096809387207,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",0.008123370818793774,0.02561948262155056,0.04199972748756409,0.018405355513095856,0.011600460857152939,-0.004799860529601574,0.33241851340874834,0.10953507174927034,0.33241851340874834,0.10953507174927034,0.0,0.0,0.33241851340874834,0.10953507174927034,7.129482122130492,0.0,6.308784666378425,False
0.5015401840209961,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",0.00938299112021923,0.024486195296049118,0.04359982907772064,0.01922117918729782,0.01008251029998064,-0.003804040141403675,0.33239296853795197,0.10961256527665088,0.332392968537952,0.10961256527665089,0.0,0.0,0.332392968537952,0.10961256527665089,7.121889667561124,0.0,6.3079431623672395,False
0.5515468120574951,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",0.010598832741379738,0.02325441502034664,0.04518486559391022,0.019836697727441788,0.008510109968483448,-0.0026998776011168957,0.3323660107389845,0.10969427927404991,0.3323660107389845,0.10969427927404991,0.0,0.0,0.3323660107389845,0.10969427927404991,7.11456010662514,0.0,6.307174442656194,False
0.6017332077026367,large_obstacle,baseline_no_cbf,"3.000,0.000,1.350",0.011991843581199646,0.021685665473341942,0.046964049339294434,0.020557591691613197,0.006650109775364399,-0.0017428662395104766,0.33233248867268367,0.10979579669832797,0.33233248867268367,0.10979579669832797,0.0,0.0,0.33233248867268367,0.10979579669832797,7.106163010912299,0.0,6.306343575125902,False
